image_id,in_common253,proposal_count,selected_index,selected_score,rwtd_iou,rwtd_ari
1,True,36,9,0.9123159050941467,0.9421012593952995,0.9496780778395438
101,True,36,24,0.6854182481765747,0.7433712121186979,0.590053081132436
102,True,36,25,0.6713547706604004,0.5761041750555078,0.26697280152411085
103,True,35,11,0.8246680498123169,0.8173446297909943,0.7890050172996573
104,True,36,33,0.7129267454147339,0.4204812766221303,-0.019326655659288573
106,True,37,29,0.5825769305229187,0.7597921177985971,0.27700804327332756
107,True,36,7,0.5473619699478149,0.17789689332871805,0.006292951783952547
109,True,37,32,0.7385240793228149,0.3627232910629395,-0.0064157986513645624
118,True,35,29,0.427002489566803,0.5928314523121158,-0.0521132845696883
12,True,36,26,0.7281689047813416,0.3515174573433477,0.10417567299660765
121,True,37,1,0.7213160395622253,0.5609237389897895,0.21190907360522357
122,True,35,30,0.9610150456428528,0.9167830893490956,0.8397532161333212
125,True,51,38,0.8825103640556335,0.8907471006874185,0.8663945494850114
128,True,36,0,0.8186372518539429,0.7076433936481998,0.3385549710439215
129,True,37,0,0.6436493992805481,0.5541034018813987,0.40935788123356914
13,True,36,3,0.7534998655319214,0.7355182490095241,0.5158211147237547
134,True,35,33,0.8577798008918762,0.8908922524791164,0.7831287148062952
139,True,35,1,0.9182167649269104,0.7426745745931558,0.6036526407522272
14,True,37,5,0.8404234647750854,0.5527000282709847,0.2667155174241678
142,True,35,28,0.6478937864303589,0.3154124286143422,-0.07322776949672521
149,True,35,7,0.7472484111785889,0.4164202421458003,0.12846769516331633
15,True,34,1,0.8706913590431213,0.7574609000927327,0.6598161998810349
16,True,35,0,0.7142162919044495,0.6066509651308006,0.280155105698711
17,True,36,32,0.8604069352149963,0.9668113753587303,0.9366432971603849
175,True,35,1,0.637384295463562,0.25724913934461485,-0.04576525448739126
176,True,36,33,0.7554752826690674,0.5115352924950353,0.6086571145310595
178,True,36,26,0.7960497736930847,0.7593939072265168,0.5229794291122707
18,True,36,6,0.9699558019638062,0.559834598527681,0.5522211933483863
180,True,35,25,0.9801036715507507,0.8481532586694216,0.7320076790364871
181,True,36,33,0.8886741399765015,0.9569036312316317,0.9276355763696692
182,True,37,33,0.7220439314842224,0.976041863687737,0.9541503661049396
183,True,36,4,0.8673453330993652,0.7407499999979423,0.511312950753783
184,True,36,28,0.8847594857215881,0.9527798441057188,0.912869524860463
185,True,51,43,0.6577805280685425,0.955305192154485,0.9276420615297006
186,True,36,31,0.6977612376213074,0.3124071415972592,0.010634778647152369
188,True,35,3,0.7083244323730469,0.43496640412843196,0.050599362840278134
189,True,36,29,0.4260530173778534,0.8237676256756327,0.2842192106448675
194,True,50,48,0.6605377793312073,0.7794990807414947,0.603306520322387
197,True,36,28,0.8883182406425476,0.9544555980566495,0.89458395725408
2,True,49,44,0.8115370273590088,0.8592197991208611,0.7142720497307472
200,True,36,4,0.6676092147827148,0.6880472306965125,0.6370523741453051
201,True,49,43,0.6994755864143372,0.9457833203399976,0.8966744704284878
202,True,35,26,0.7093993425369263,0.9659584859537682,0.9569580325509385
205,True,36,7,0.7768869400024414,0.5282950490618635,0.2326468445142061
207,True,49,6,0.7945196032524109,0.744834842492205,0.5711141170568123
210,True,35,3,0.8282739520072937,0.7294776745253799,0.5679506364757962
213,True,36,32,0.9769184589385986,0.9551773049611518,0.9242918267732884
214,True,50,46,0.920986533164978,0.9663991975900857,0.9277428117396753
215,True,37,5,0.9108611345291138,0.7464333569776243,0.49746618142160715
216,True,36,28,0.6416706442832947,0.7869817646556355,0.5798760673675049
219,True,50,49,0.877072811126709,0.9598152424910597,0.9270345547917697
22,True,35,31,0.7112826108932495,0.7452225766169873,0.5177559401368911
221,True,51,8,0.7823161482810974,0.7558977615470522,0.5857552655789358
222,True,35,24,0.9333708882331848,0.9293896713556845,0.9265680456692098
224,True,36,7,0.7694492936134338,0.4537274666817546,0.21232985207182214
228,True,35,5,0.8921101093292236,0.7401811690004623,0.5775904015407567
229,True,36,29,0.9565170407295227,0.9838633300514192,0.9731219732955149
236,True,36,26,0.9356478452682495,0.9636749684352012,0.9242208328160838
237,True,36,8,0.9296954870223999,0.7243807368265925,0.5364006078359663
238,True,36,2,0.9099058508872986,0.7683880630109596,0.555133949422782
24,True,35,10,0.8651846647262573,0.5312639371997925,0.5845709625426003
240,True,36,10,0.7857272624969482,0.49362768236268245,0.32404237830673915
243,True,36,35,0.882089376449585,0.9226255161720794,0.9509018706661336
244,True,35,7,0.735056459903717,0.8881854019777315,0.8804288247406438
245,True,50,37,0.8364949226379395,0.3043874830433968,-0.026145067757207912
246,True,50,10,0.9010148048400879,0.5402820865431915,0.3147575145419582
247,True,50,42,0.8375550508499146,0.9472603911256421,0.8902706392717572
25,True,36,4,0.9287935495376587,0.8278415546729309,0.748235223514192
250,True,36,30,0.8377379179000854,0.9208296815613943,0.9007440961371374
251,True,50,2,0.9126083254814148,0.727269915880977,0.5341513535719188
252,True,35,30,0.8661046624183655,0.9811278364394123,0.9293534628786522
253,True,36,7,0.795598566532135,0.5261255340105666,0.35931711782340475
